<Sentence id="1">
1	पुरानी	JJ	<fs af='पुरानी,adj,f,any,,any,,'>
2	बात	NN	<fs af='बात,n,f,sg,3,d,0,0'>|<fs af='बात,n,f,sg,3,o,0,0'>
3	है	VM	<fs af='है,v,any,sg,2,,है,hE'>|<fs af='है,v,any,sg,3,,है,hE'>
4	.	SYM	<fs af='&dot;,punc,,,,,,'>
</Sentence>			
<Sentence id="2">
1	अमीर	JJ	<fs af='अमीर,n,m,sg,3,d,0,0'>|<fs af='अमीर,n,m,pl,3,d,0,0'>|<fs af='अमीर,n,m,sg,3,o,0,0'>|<fs af='अमीर,adj,any,any,,any,,'>
2	व्यापारी	NN	<fs af='व्यापारी,n,m,sg,3,d,0,0'>|<fs af='व्यापारी,n,m,pl,3,d,0,0'>|<fs af='व्यापारी,n,m,sg,3,o,0,0'>
3	के	PSP	<fs af='का,psp,m,sg,,o,का,kA'>|<fs af='का,psp,m,pl,,d,का,kA'>|<fs af='का,psp,m,pl,,o,का,kA'>
4	यहाँ	PRP	<fs af='यहाँ,adv,,,,,,'>|<fs af='यहाँ,psp,,,,,,'>
5	चोरी	NN	<fs af='चोरी,n,f,sg,3,d,0,0'>|<fs af='चोरी,n,f,sg,3,o,0,0'>
6	हो	VM	<fs af='हो,v,any,any,any,,0,0'>|<fs af='हो,v,any,sg,2,,एं,e'>|<fs af='हो,v,any,sg,3,,ए,e'>|<fs af='है,v,any,pl,2,,है,hE'>
7	गयी	VAUX	<fs af='गयी,unk,,,,,,'>
8	.	SYM	<fs af='&dot;,punc,,,,,,'>
</Sentence>			
<Sentence id="3">
1	तलाश	NN	<fs af='तलाश,n,f,sg,3,d,0,0'>|<fs af='तलाश,n,f,pl,3,d,0,0'>|<fs af='तलाश,n,f,sg,3,o,0,0'>|<fs af='तलाश,n,f,pl,3,o,0,0'>|<fs af='तलाश,v,any,any,any,,0,0'>
2	करने	VM	<fs af='कर,v,m,pl,any,,ना,nA'>
